year,rank,date,name,code,region,value,color,platform_scope,metric_context,source_type,confidence,source_url,notes
2020,1,2020-12-01,Fortnite,FORTNITE,Global,15300000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://thewaltdisneycompany.com/fortnites-nexus-war-with-galactus-event-draws-15-3-million-concurrent-players/,Marvel Nexus War with Galactus event peak
2024,2,2024-11-30,Fortnite,FORTNITE,Global,14000000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.espn.com/gaming/story/_/id/42708537/fortnite-remix-finale-event-breaks-concurrent-player-record-snoop-dogg-eminem-ice-spice-juice-wrld,Remix The Finale reported over 14M in-game concurrent players
2023,3,2023-12-02,Fortnite,FORTNITE,Global,11616374,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.theverge.com/2023/12/4/23987661/fortnite-big-bang-event-players-queue-issues,Eminem Big Bang event peak
2019,4,2019-02-02,Fortnite,FORTNITE,Global,10700000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.theverge.com/2019/2/21/18234980/fortnite-marshmello-concert-viewer-numbers,Marshmello in-game event peak
2025,5,2025-11-29,Fortnite,FORTNITE,Global,10500000,#8B5CF6,Epic Games ecosystem,event concurrent players,press_report,medium,https://www.pcgamer.com/games/third-person-shooter/fortnites-latest-live-event-drew-in-10-5-million-players-to-see-godzilla-hatsune-miku-homer-simpson-and-countless-other-characters-fight-a-giant-squid-man/,Zero Hour live event drew 10.5M in-game players
2018,6,2018-11-08,Fortnite,FORTNITE,Global,8300000,#8B5CF6,Epic Games ecosystem,reported peak concurrent players,company_report,medium_high,https://en.wikipedia.org/wiki/Fortnite_Battle_Royale,Epic-reported peak concurrent record
2012,7,2012-06-01,CrossFire,CROSSFIRE,Global,8000000,#E11D48,PC online shooter,reported peak concurrent players,company_secondary,medium,https://en.wikipedia.org/wiki/Smilegate,Smilegate public history summary cites more than 8M concurrent users worldwide
2014,8,2014-01-27,League of Legends,LOL,Global,7500000,#C89B3C,PC MOBA,reported peak concurrent players,semi_official_archive,medium,https://en.wikipedia.org/wiki/League_of_Legends,Riot-reported peak concurrent via archived secondary summaries
2014,9,2014-11-13,CrossFire,CROSSFIRE,Global,6000000,#E11D48,PC online shooter,reported peak concurrent players,company_secondary,medium,https://www.smilegate.com/en/business/game.do,Smilegate-related profile reports over six million concurrent players
2020,10,2020-02-13,CrossFire,CROSSFIRE,Global,6000000,#E11D48,PC online shooter,reported peak concurrent players,company_secondary,medium,https://variety.com/2020/digital/news/crossfire-tv-series-sony-smilegate-1203504221/,Variety report citing more than six million concurrent users
