year,date,name,code,region,value,color,platform_scope,metric_context,source_type,confidence,source_url,notes
2009,2009-12-31,CrossFire,CROSSFIRE,Asia/global,1100000,#E11D48,PC online shooter,reported regional concurrent users,secondary_report,medium_low,https://www.smilegate.com/fr/game/crossfire.do,Reported 1.0M China plus 0.1M Vietnam from secondary source
2011,2011-11-17,League of Legends,LOL,Global,1300000,#C89B3C,PC MOBA,reported average online users,semi_official_archive,medium,https://en.wikipedia.org/wiki/League_of_Legends,Riot-reported average online via archived secondary summaries
2012,2012-08-01,Counter-Strike 2 / CS:GO,CS2,Steam,52261,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2012,2012-10-12,League of Legends,LOL,Global,5000000,#C89B3C,PC MOBA,reported peak concurrent players,semi_official_archive,medium,https://en.wikipedia.org/wiki/League_of_Legends,Riot-reported peak concurrent via archived secondary summaries
2012,2012-12-01,Dota 2,DOTA2,Steam,213521,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2013,2013-12-01,Counter-Strike 2 / CS:GO,CS2,Steam,96298,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2013,2013-12-01,Dota 2,DOTA2,Steam,702792,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2014,2014-01-27,League of Legends,LOL,Global,7500000,#C89B3C,PC MOBA,reported peak concurrent players,semi_official_archive,medium,https://en.wikipedia.org/wiki/League_of_Legends,Riot-reported peak concurrent via archived secondary summaries
2014,2014-11-13,CrossFire,CROSSFIRE,Global,6000000,#E11D48,PC online shooter,reported peak concurrent players,company_secondary,medium,https://www.smilegate.com/en/business/game.do,Smilegate-related profile reports over six million concurrent players
2014,2014-12-01,Counter-Strike 2 / CS:GO,CS2,Steam,367634,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2014,2014-12-01,Dota 2,DOTA2,Steam,963810,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2015,2015-12-01,Counter-Strike 2 / CS:GO,CS2,Steam,823694,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2015,2015-12-01,Dota 2,DOTA2,Steam,1262612,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2016,2016-03-01,Dota 2,DOTA2,Steam,1291328,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2016,2016-04-01,Counter-Strike 2 / CS:GO,CS2,Steam,850485,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2017,2017-01-01,Counter-Strike 2 / CS:GO,CS2,Steam,814616,#F59E0B,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/730,Highest observed concurrent-player peak within the year
2017,2017-12-01,Dota 2,DOTA2,Steam,1040877,#EF4444,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/570,Highest observed concurrent-player peak within the year
2017,2017-12-01,PUBG: Battlegrounds,PUBG,Steam,3080769,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2018,2018-01-01,PUBG: Battlegrounds,PUBG,Steam,3236027,#F97316,Steam,annual peak concurrent players,steamcharts_monthly_peak,high,https://steamcharts.com/app/578080,Highest observed concurrent-player peak within the year
2018,2018-02-08,Fortnite,FORTNITE,Global,3400000,#8B5CF6,Epic Games ecosystem,reported peak concurrent players,company_report,medium_high,https://en.wikipedia.org/wiki/Fortnite_Battle_Royale,Epic-reported early peak concurrent record
2018,2018-11-08,Fortnite,FORTNITE,Global,8300000,#8B5CF6,Epic Games ecosystem,reported peak concurrent players,company_report,medium_high,https://en.wikipedia.org/wiki/Fortnite_Battle_Royale,Epic-reported peak concurrent record
